,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
1950,SOUTHWEST WATER CO,SWWC,47.746,444.725,141.66,117.603,12.6,18.134,30.734,61.521,1.259,40.579,2.399,22.202,35.553000000000004,203.181,317.4674,299.472,203.181,172.447
1951,SOUTHWEST WATER CO,SWWC,48.257,491.693,152.89700000000002,128.624,13.8,24.012,37.812,71.285,1.3869999999999998,35.83,9.399,27.103,29.417,224.182,327.5155,325.166,224.182,186.37
1952,SOUTHWEST WATER CO,SWWC,61.585,516.409,145.149,145.35299999999998,14.8,21.374,36.174,72.19800000000001,1.337,46.184,-8.046,13.421,27.019,217.347,303.8354,357.215,217.347,181.173
1953,SOUTHWEST WATER CO,SWWC,57.711000000000006,527.207,209.393,190.578,15.422,-3.965,11.457,11.457,1.274,46.722,-31.917,-34.681999999999995,29.842,220.85,80.1683,413.407,220.85,209.393
1954,SOUTHWEST WATER CO,SWWC,42.751000000000005,400.095,187.404,152.82,14.857,8.832,23.689,23.689,1.248,37.514,4.067,-33.2,30.251,211.093,146.5844,284.181,211.093,187.404
5755,SPECIALIZED HEALTH PRODUCTS,3SHPI,3.5,4.09,0.4479999999999999,0.0,0.135,-3.214,-3.079,3.159,0.1989999999999999,1.994,-3.119,-36.809,0.728,3.607,16.9395,3.018,3.607,6.686
5756,SPECIALIZED HEALTH PRODUCTS,3SHPI,3.234,4.058,0.995,0.0,0.087,-0.353,-0.266,4.77,0.287,1.803,-0.344,-37.153,1.229,5.765,48.9038,1.892,5.765,6.031000000000001
5757,SPECIALIZED HEALTH PRODUCTS,3SHPI,2.962,4.638999999999999,1.957,0.5,0.124,-1.616,-1.492,5.025,0.618,2.1630000000000003,-2.759,-39.911,1.579,6.982,19.1905,3.88,6.982,8.474
5758,SPECIALIZED HEALTH PRODUCTS,3SHPI,11.635,16.624000000000002,4.368,0.0,0.432,0.353,0.785,8.901,2.028,4.162,0.385,-39.446,2.681,13.269,48.4596,4.334,13.269,12.484000000000002
5759,SPECIALIZED HEALTH PRODUCTS,3SHPI,14.904000000000002,19.95,5.5760000000000005,0.0,0.6890000000000001,2.757,3.446,13.348,2.9160000000000004,3.6,2.724,-36.722,3.0,18.924,59.4437,3.6,18.924,15.478
9350,SPECIALTY LABORATORIES INC,SP.4,115.737,142.005,80.905,0.0,5.9510000000000005,16.039,21.99,72.34,1.6230000000000002,26.948,8.673,24.103,32.775,153.245,693.5713,30.208,153.245,131.255
9351,SPECIALTY LABORATORIES INC,SP.4,77.524,153.988,92.968,0.0,6.987,18.898,25.885,82.20100000000001,2.7110000000000003,18.788,13.079,37.326,33.783,175.169,590.3203,21.332,175.169,149.284
9352,SPECIALTY LABORATORIES INC,SP.4,68.913,143.30700000000002,96.816,0.0,6.962999999999999,-14.349,-7.386,43.334,1.893,17.365,-13.385,24.038,31.088,140.15,212.7422,19.573,140.15,147.536
9353,SPECIALTY LABORATORIES INC,SP.4,65.596,142.553,79.86399999999999,5.019,6.231,-7.971,-1.74,39.789,2.729,15.095,-6.361000000000001,17.508,22.365,119.653,378.9503,22.053,119.653,121.393
9354,SPECIALTY LABORATORIES INC,SP.4,55.345,126.142,86.119,0.0,6.397,-8.33,-1.933,48.684,3.207,14.447,-12.95,4.31,30.017,134.803,254.1739,16.608,134.803,136.736
6220,SPECTRALINK CORP,SLNK,64.681,67.59100000000001,19.946,0.0,1.089,8.183,9.272,40.955,7.449,10.723,5.415,18.412,11.248,60.901,133.7248,10.901,60.901,51.629
6221,SPECTRALINK CORP,SLNK,76.55,81.171,22.665,0.0,0.884,12.78,13.664,48.763000000000005,7.653,14.372,8.176,24.706,14.674,71.428,361.7571,14.622,71.428,57.764
6222,SPECTRALINK CORP,SLNK,58.498000000000005,91.426,31.613000000000003,0.0,1.03,17.051,18.081,58.397,8.076,17.989,10.954,28.03,21.252,90.01,271.3768,18.203,90.01,71.929
6223,SPECTRALINK CORP,SLNK,120.28,130.792,33.187,18.05,1.086,18.095,19.181,64.587,8.94,34.861,12.024,32.383,22.574,97.774,226.7882,53.81100000000001,97.774,78.593
6224,SPECTRALINK CORP,SLNK,68.794,143.048,59.33,7.874,9.164,5.327999999999999,14.492,85.44200000000001,18.409,35.822,-0.039,38.41,26.095,144.77200000000002,167.8462,53.596,144.77200000000002,130.28
1955,SPECTRUM CONTROL INC,SPEC.2,52.462,119.207,93.634,1.131,3.258,9.701,12.959,32.038000000000004,21.754,20.654,5.871,46.86600000000001,24.176,125.672,116.5472,30.608,125.672,112.713
1956,SPECTRUM CONTROL INC,SPEC.2,58.345,126.919,96.251,1.031,3.925,17.616,21.541,40.288,25.458,15.068,11.140999999999998,58.54600000000001,25.461,136.539,199.9116,25.051,136.539,114.998
1957,SPECTRUM CONTROL INC,SPEC.2,64.069,134.784,93.485,0.545,4.447,13.344,17.791,37.209,30.638,21.479,8.851,67.249,24.043000000000003,130.694,52.4211,31.493,130.694,112.903
1958,SPECTRUM CONTROL INC,SPEC.2,66.795,143.72899999999998,93.002,0.48,4.944,13.076,18.02,39.304,34.223,19.555,8.56,76.293,22.623,132.306,110.7008,30.305,132.306,114.286
1959,SPECTRUM CONTROL INC,SPEC.2,71.01899999999999,157.622,112.941,0.41,6.867999999999999,20.852,27.72,50.995,39.549,15.923,12.843,88.74700000000001,25.892,163.93599999999998,200.3271,27.895,163.93599999999998,136.216
7175,SPECTRUM ORGANIC PRODUCTS,3SPOP,9.734,22.841,31.287,1.4480000000000002,1.4409999999999998,-0.25,1.1909999999999998,11.805,6.676,14.543,-2.002,-2.07,2.972,43.092,14.4612,15.991,43.092,41.901
7176,SPECTRUM ORGANIC PRODUCTS,3SPOP,9.465,14.3,29.591,1.7080000000000002,0.94,1.5019999999999998,2.442,11.793,5.9670000000000005,10.494000000000002,-5.206,-7.276,3.428,41.38399999999999,16.9086,12.202,41.38399999999999,38.942
7177,SPECTRUM ORGANIC PRODUCTS,3SPOP,8.425,12.187,29.369,1.084,0.4539999999999999,1.819,2.273,11.291,5.269,7.829,1.12,-6.156000000000001,3.075,40.66,13.7118,8.913,40.66,38.387
7178,SPECTRUM ORGANIC PRODUCTS,3SPOP,12.989,19.221,33.283,1.653,0.524,1.936,2.46,12.394,8.007,11.43,2.664,-3.4930000000000003,4.163,45.677,38.3917,13.134,45.677,43.217
7179,SPECTRUM ORGANIC PRODUCTS,3SPOP,14.147,20.503,37.728,1.702,0.653,0.918,1.571,12.187,9.565,13.458,-0.833,-4.325,3.8,49.915,25.5233,15.197,49.915,48.344
5975,SPEEDUS CORP,SPDE,19.92,22.46,0.345,0.0,0.941,-5.895,-4.954,0.693,0.0,1.284,-5.468,-63.881,0.001,1.038,18.9709,1.284,1.038,5.992000000000001
5976,SPEEDUS CORP,SPDE,15.692,17.136,0.307,0.0,0.758,-6.2170000000000005,-5.459,0.539,0.0,1.034,-5.615,-69.49600000000001,0.0,0.846,19.3225,1.034,0.846,6.305
5977,SPEEDUS CORP,SPDE,12.356,13.29,0.297,0.0,0.266,-5.271,-5.005,0.436,0.0,1.4380000000000002,-4.418,-73.914,0.0,0.733,7.0658,1.4380000000000002,0.733,5.738
5978,SPEEDUS CORP,SPDE,6.068,6.138,0.03,0.0,0.084,-7.916,-7.832000000000001,0.126,0.0,2.779,-9.202,-83.116,0.0,0.156,1.5346,2.779,0.156,7.987999999999999
5979,SPEEDUS CORP,SPDE,2.066,2.125,0.166,0.5429999999999999,0.025,-4.705,-4.68,0.295,0.098,0.5770000000000001,-2.844,-85.96,0.055,0.461,10.5494,1.12,0.461,5.141
1960,SPEIZMAN INDUSTRIES INC,SPZN,44.282,56.456,84.197,5.655,1.367,0.7240000000000001,2.091,17.215,16.36,28.224,-0.253,9.891,21.139,101.412,12.5124,33.879,101.412,99.321
1961,SPEIZMAN INDUSTRIES INC,SPZN,54.107,68.255,94.872,18.84,1.571,3.319,4.89,20.31,16.489,25.925,0.802,10.693,30.723000000000003,115.182,10.3658,44.765,115.182,110.292
1962,SPEIZMAN INDUSTRIES INC,SPZN,39.304,54.873000000000005,69.058,15.503,1.453,-3.1260000000000003,-1.673,13.175,16.722,22.004,-5.863,4.566,19.44,82.23299999999999,4.0688,37.507,82.23299999999999,83.906
1963,SPEIZMAN INDUSTRIES INC,SPZN,27.956,40.047,48.351000000000006,8.924,0.993,-3.912,-2.919,8.752,13.542,19.004,-5.3420000000000005,-0.6809999999999999,10.667,57.103,1.9856,27.928,57.103,60.022
1964,SPEIZMAN INDUSTRIES INC,SPZN,26.016,38.403,51.779,7.758999999999999,0.672,1.329,2.001,10.757,11.329,18.652,-0.296,-0.8079999999999999,12.074000000000002,62.536,1.6275,26.411,62.536,60.535
8455,SPINNAKER EXPLORATION CO,SKE.1,138.293,442.704,9.009,0.0,47.76,57.264,105.024,112.374,0.0,64.288,38.566,11.532,45.594,121.383,1125.2725,81.445,121.383,16.359
8456,SPINNAKER EXPLORATION CO,SKE.1,62.447,587.316,12.132,0.0,85.45700000000001,103.344,188.801,198.24400000000003,0.0,83.101,66.226,92.265,24.129,210.376,1123.3799,128.82399999999998,210.376,21.575
8457,SPINNAKER EXPLORATION CO,SKE.1,81.553,842.715,18.212,0.0,109.912,49.218,159.13,170.114,0.0,87.912,31.579,96.59,37.572,188.326,731.4426,149.738,188.326,29.196
8458,SPINNAKER EXPLORATION CO,SKE.1,49.778,990.582,24.276,50.0,126.641,63.16,189.801,202.574,0.0,82.946,36.612,144.221,30.067,226.85,1077.0113,246.521,226.85,37.049
8459,SPINNAKER EXPLORATION CO,SKE.1,76.911,1150.931,27.554,105.0,144.266,85.281,229.547,245.334,0.0,90.425,53.933,200.845,48.785,272.888,1189.5744,336.845,272.888,43.341
3195,SPORT SUPPLY GROUP INC,RBI,77.958,108.596,69.211,50.448,1.1740000000000002,7.303,8.477,37.128,17.479,12.342,3.6010000000000004,3.75,18.132,106.339,104.236,63.49,106.339,97.862
3196,SPORT SUPPLY GROUP INC,RBI,78.699,144.435,145.72299999999998,62.284,3.4360000000000004,8.662,12.098,78.515,37.185,23.508000000000003,1.896,4.626,31.004,224.238,109.9618,89.051,224.238,212.14
3197,SPORT SUPPLY GROUP INC,RBI,77.443,156.592,149.816,71.38600000000001,3.479,12.69,16.169,87.039,32.241,30.772,3.86,6.813,31.154,236.855,100.5471,106.056,236.855,220.686
3198,SPORT SUPPLY GROUP INC,RBI,95.978,167.695,156.577,50.036,3.738,19.7,23.438,94.817,36.318000000000005,34.359,9.733,15.316,34.06,251.394,126.9577,88.40899999999998,251.394,227.956
3199,SPORT SUPPLY GROUP INC,RBI,84.58,153.10299999999998,157.752,0.0,2.799,20.973000000000003,23.772,92.475,33.872,56.937,11.916,25.987,32.276,250.227,106.4043,61.268,250.227,226.455
1965,SPORTS ARENAS INC,SPAI,0.8009999999999999,6.601,4.03,1.967,0.387,-3.386,-2.999,0.809,0.305,7.629,-3.625,-21.333,0.244,4.839,1.09,24.218000000000004,4.839,7.837999999999999
1966,SPORTS ARENAS INC,SPAI,1.487,3.448,4.458,0.0139999999999999,0.301,-3.443,-3.142,0.035,0.585,2.573,3.403,-17.93,0.325,4.493,1.3625,18.523,4.493,7.635
1967,SPORTS ARENAS INC,SPAI,1.3159999999999998,2.903,4.198,0.005,0.308,-2.037,-1.729,0.8809999999999999,0.7929999999999999,2.001,-2.1790000000000003,-20.109,0.445,5.079,0.8175,20.206,5.079,6.808
1968,SPORTS ARENAS INC,SPAI,1.795,12.732,2.905,0.0,0.195,-1.328,-1.133,1.139,0.642,0.733,19.159,-0.95,0.753,4.044,0.4088,11.247,4.044,5.1770000000000005
1969,SPORTS ARENAS INC,SPAI,1.095,7.129,2.8360000000000003,0.067,0.2,-2.92,-2.72,-0.015,0.606,1.517,-2.434,-1.092,0.275,2.821,0.2394,6.742000000000001,2.821,5.541
7455,SPORTS AUTHORITY INC,TSA,374.334,538.339,675.789,160.295,20.507,34.992,55.499,259.928,326.543,231.84,8.266,44.307,11.831,935.717,246.2306,402.83,935.717,880.2180000000001
7456,SPORTS AUTHORITY INC,TSA,376.492,540.24,753.6239999999999,122.286,22.716,45.922,68.638,297.62,333.538,204.693,23.167,66.988,13.245,1051.244,186.3276,341.66,1051.244,982.606
7457,SPORTS AUTHORITY INC,TSA,880.623,1365.6270000000002,1235.227,318.158,39.238,78.035,117.273,525.2230000000001,687.215,501.714,16.262,81.561,52.717,1760.45,1065.0803,928.33,1760.45,1643.177
7458,SPORTS AUTHORITY INC,TSA,882.66,1451.181,1696.44,305.892,60.43899999999999,95.196,155.635,739.423,728.8530000000001,527.1419999999999,33.467,115.537,40.37,2435.863,655.9921,966.172,2435.863,2280.228
7459,SPORTS AUTHORITY INC,TSA,824.914,1403.7820000000002,1732.84,236.323,69.283,110.774,180.05700000000002,776.49,668.913,476.204,55.417,172.141,33.859,2509.33,970.7666,848.985,2509.33,2329.273
5295,SPORTS CLUB CO INC,SCYL,141.80700000000002,212.562,41.578,18.94,5.034,-0.289,4.745,14.627,0.435,201.018,-22.249,-129.22299999999998,1.883,56.205,13.5842,227.919,56.205,51.46
5296,SPORTS CLUB CO INC,SCYL,12.148,89.48700000000001,43.791,76.648,4.396,0.349,4.745,14.983,0.426,18.87,-4.641,-133.864,1.585,58.774,31.9632,103.498,58.774,54.029
5297,SPORTS CLUB CO INC,SCYL,12.865,82.794,46.399,77.692,4.541,0.951,5.492000000000001,15.272,0.492,15.576,-6.096,-139.96,1.354,61.67100000000001,27.1102,101.464,61.67100000000001,56.179
5298,SPORTS CLUB CO INC,SCYL,7.417000000000001,72.71300000000001,44.479,76.218,4.374,2.729,7.103,18.995,0.426,23.856,-4.973,-144.933,0.92,63.474,11.8107,106.928,63.474,56.371
5299,SPORTS CLUB CO INC,SCYL,4.074,67.148,37.644,74.642,3.986,5.0280000000000005,9.014,16.872,0.327,22.467,-1.122,-146.055,0.726,54.516000000000005,7.6675,102.937,54.516000000000005,45.502
5925,SPORTS RESORTS INTL INC,SPRI,8.472000000000001,28.759,16.535,1.879,2.624,-4.1530000000000005,-1.529,5.585,1.796,3.938,-1.875,17.055999999999997,2.798,22.12,185.8684,5.879,22.12,23.649
5926,SPORTS RESORTS INTL INC,SPRI,4.908,22.19,11.124,0.608,2.377,-2.289,0.088,5.694,1.15,3.851,-3.98,11.58,1.926,16.817999999999998,372.8787,4.468999999999999,16.817999999999998,16.73
5927,SPORTS RESORTS INTL INC,SPRI,4.449,22.684,13.138,0.531,2.062,-0.502,1.56,6.232,1.523,4.307,-0.263,11.705,1.2819999999999998,19.37,283.8908,4.838,19.37,17.81
5928,SPORTS RESORTS INTL INC,SPRI,5.101,22.498,16.694000000000003,0.7909999999999999,1.963,-0.483,1.48,5.768,1.535,1.96,1.189,13.606,2.552,22.462,250.0367,2.7510000000000003,22.462,20.982
5929,SPORTS RESORTS INTL INC,SPRI,8.211,20.267,16.256,0.573,1.7519999999999998,-1.79,-0.038,4.269,1.6,1.56,-1.731,11.875,5.263,20.525,139.392,2.133,20.525,20.563
7345,SPORTSLINE.COM INC,SPLN.,116.983,271.461,55.799,19.608,4.085,-57.708,-53.623000000000005,4.479,0.0,19.754,-17.097,-109.477,11.875,60.278,1271.1199,39.362,60.278,113.901
7346,SPORTSLINE.COM INC,SPLN.,166.77599999999998,258.171,75.278,19.608,7.609,-76.825,-69.21600000000001,20.609,0.0,39.657,-106.068,-220.78,10.14,95.887,140.7069,59.265,95.887,165.10299999999998
7347,SPORTSLINE.COM INC,SPLN.,62.891000000000005,114.824,68.347,16.678,8.847999999999999,-87.133,-78.285,-3.817,0.0,16.711,-61.146,-276.698,6.9270000000000005,64.53,85.3195,33.796,64.53,142.815
7348,SPORTSLINE.COM INC,SPLN.,32.797,91.988,27.447,16.678,7.544,-43.758,-36.214,34.618,0.0,14.392,-48.225,-324.9,9.844,62.065,38.256,37.953,62.065,98.279
7349,SPORTSLINE.COM INC,SPLN.,35.417,75.6,22.192,16.660999999999998,4.367,-33.263000000000005,-28.896,35.476,0.0,19.508,-38.569,-376.199,13.856,57.668,54.2925,52.00100000000001,57.668,86.564
2525,SPORTSMANS GUIDE INC,SGDE,38.456,42.088,111.316,0.005,1.77,4.339,6.109,58.359,21.076,25.499,2.753,4.968999999999999,2.759,169.675,16.574,25.745,169.675,163.566
2526,SPORTSMANS GUIDE INC,SGDE,46.841,49.513000000000005,119.128,0.0,1.579,6.625,8.204,61.162,20.593000000000004,28.773000000000003,4.017,8.986,3.014,180.29,33.278,28.892,180.29,172.08599999999998
2527,SPORTSMANS GUIDE INC,SGDE,61.574,63.822,129.317,0.0,1.3219999999999998,9.597,10.919,65.38600000000001,18.874,36.827,6.158,15.144,3.034,194.703,82.7176,37.014,194.703,183.784
2528,SPORTSMANS GUIDE INC,SGDE,50.187,80.914,156.65,5.0,1.431,12.262,13.693,75.815,29.148000000000003,45.654,7.593,21.777,3.955,232.465,106.47,51.042,232.465,218.772
2529,SPORTSMANS GUIDE INC,SGDE,62.975,93.89,192.796,0.0,1.471,18.064,19.535,92.324,34.238,51.152,11.453,33.278,4.437,285.12,174.5582,51.92100000000001,285.12,265.585
3065,SPROTT RESOURCE LENDING CORP,SILU,31.051,120.423,118.613,0.0,25.374,-37.413,-12.039,-4.383,11.613,37.244,-45.042,-144.972,2.884,114.23,13.5513,61.162,114.23,126.269
3066,SPROTT RESOURCE LENDING CORP,SILU,12.845,55.804,50.781000000000006,0.0,9.741,-12.390999999999998,-2.65,1.265,2.673,3.44,-35.872,-176.518,1.873,52.04600000000001,9.6798,24.889,52.04600000000001,54.696000000000005
3067,SPROTT RESOURCE LENDING CORP,SILU,22.172,50.344,21.178,0.0,0.7879999999999999,-3.31,-2.522,0.527,0.563,5.676,0.857,-178.93599999999998,0.908,21.705,40.3328,19.321,21.705,24.227
3068,SPROTT RESOURCE LENDING CORP,SILU,65.21300000000001,96.11,7.926,0.0,0.2319999999999999,-2.256,-2.024,2.542,0.072,2.518,-1.362,2.392,27.315,10.468,148.9673,13.01,10.468,12.492
3069,SPROTT RESOURCE LENDING CORP,SILU,76.482,111.905,1.556,0.0,0.0,5.5120000000000005,5.5120000000000005,11.592,0.0,10.45,12.747,16.132,63.511,13.148,149.2689,12.385,13.148,7.636
4780,SPSS INC,SPSS,115.718,235.325,6.042999999999999,3.381,8.599,5.805,14.404000000000002,218.031,0.789,101.872,5.542999999999999,-24.05,50.007,224.074,276.9218,106.866,224.074,209.67
4781,SPSS INC,SPSS,143.69899999999998,271.897,8.11,0.872,8.271,29.524,37.795,227.953,0.879,106.284,16.092,-9.56,42.488,236.063,579.1643,108.151,236.063,198.268
4782,SPSS INC,SPSS,206.53,332.494,10.842,0.0,6.6370000000000005,35.586,42.223,250.69,0.752,114.431,15.14,10.413,53.81399999999999,261.532,594.6042,115.971,261.532,219.30900000000003
4783,SPSS INC,SPSS,375.635,501.06,10.893,150.0,6.835,54.057,60.892,280.107,0.698,139.346,33.725,46.577,56.58,291.0,666.2382,291.707,291.0,230.108
4784,SPSS INC,SPSS,364.095,486.957,14.458,150.0,7.485,55.646,63.131,288.455,0.433,123.052,36.046,63.73,43.172,302.913,489.9441,275.966,302.913,239.782
9600,SRA INTERNATIONAL INC,SRX,477.779,721.9739999999999,880.802,0.046,18.201,96.967,115.168,298.465,0.0,178.21200000000002,62.52,264.82,266.16,1179.267,1487.6317,188.677,1179.267,1064.099
9601,SRA INTERNATIONAL INC,SRX,506.673,847.684,954.656,0.35,21.187,92.825,114.012,314.216,0.0,209.588,63.43,328.25,262.409,1268.872,1441.4619,222.229,1268.872,1154.86
9602,SRA INTERNATIONAL INC,SRX,651.131,1136.515,1121.913,150.6,25.263,122.674,147.937,385.02,0.0,278.78,73.264,401.48800000000006,390.843,1506.933,1277.7719,443.579,1506.933,1358.996
9603,SRA INTERNATIONAL INC,SRX,489.361,1094.293,1123.868,75.2,28.921,99.914,128.835,416.6880000000001,6.7860000000000005,265.337,58.0,456.232,372.98,1540.556,991.701,352.673,1540.556,1411.721
9604,SRA INTERNATIONAL INC,SRX,500.61300000000006,1033.715,1260.216,0.0,28.253,123.268,151.52100000000002,406.413,6.8660000000000005,242.213,18.415,474.462,358.78,1666.629,1119.105,262.152,1666.629,1515.108
6515,SRS LABS INC,SRSL,41.647,51.383,14.699000000000002,0.0,0.7340000000000001,3.419,4.1530000000000005,4.1530000000000005,0.0,2.375,5.414,-19.203,1.139,18.852,84.4177,2.375,18.852,14.699000000000002
6516,SRS LABS INC,SRSL,40.632,46.882,18.56,0.0,0.66,-0.887,-0.2269999999999999,-0.2269999999999999,0.0,3.113,0.271,-18.884,0.3329999999999999,18.333,68.7786,3.113,18.333,18.56
6517,SRS LABS INC,SRSL,42.277,51.749,22.374,0.0,0.705,1.886,2.591,2.591,0.0,3.355,2.136,-16.749000000000002,0.179,24.965,106.7541,3.355,24.965,22.374
6518,SRS LABS INC,SRSL,31.993,57.347,27.44,0.0,0.966,1.914,2.88,2.88,0.0,2.553,3.006,-13.742,1.192,30.32,130.4497,2.553,30.32,27.44
6519,SRS LABS INC,SRSL,36.923,57.097,30.634,0.0,1.117,1.119,2.236,2.236,0.0,2.9960000000000004,1.118,-12.624,1.431,32.87,82.2653,2.9960000000000004,32.87,30.634
9050,SRTI BLOCKCHAIN GEN INC,SRTI,54.663,96.876,31.433000000000003,0.424,4.585,-13.779000000000002,-9.194,61.958,17.445,22.695,-12.556,-7.901,17.972,93.391,105.2655,26.938,93.391,102.585
9051,SRTI BLOCKCHAIN GEN INC,SRTI,42.609,65.16,32.952,0.002,3.927,-15.022,-11.095,47.698,11.481,20.097,-26.064,-34.393,19.732,80.65,24.6475,21.538,80.65,91.745
9052,SRTI BLOCKCHAIN GEN INC,SRTI,30.352,48.319,22.803,0.0,2.948,-8.151,-5.202999999999999,27.779,7.947999999999999,12.942,-9.776,-44.739,11.714,50.582,28.7554,14.737,50.582,55.785
9053,SRTI BLOCKCHAIN GEN INC,SRTI,26.265,43.736,14.636,0.0,2.033,-0.479,1.554,26.031,7.079,7.662999999999999,-0.039,-44.769,9.39,40.667,21.031,9.632,40.667,39.113
9054,SRTI BLOCKCHAIN GEN INC,SRTI,17.957,28.253,13.82,0.0,1.632,-9.156,-7.524,15.238,6.155,5.925,-13.92,-58.445,4.788,29.058000000000003,13.0983,7.425,29.058000000000003,36.582
2395,SSI SURGICAL SERVICES INC,SGSI.1,8.867,33.687,21.989,14.834,3.346,1.766,5.112,8.802999999999999,0.807,4.381,0.521,-8.742,7.673999999999999,30.792,3.3135,19.215,30.792,25.68
2396,SSI SURGICAL SERVICES INC,SGSI.1,9.414,37.41,22.785,21.064,4.376,-1.558,2.818,9.15,1.18,3.946,-2.072,-10.814,7.86,31.935,7.6015,25.01,31.935,29.117
2397,SSI SURGICAL SERVICES INC,SGSI.1,8.282,36.48,24.166,23.338,5.372999999999999,-1.051,4.322,9.745,1.245,2.867,-2.125,-12.939,6.81,33.911,4.8728,26.205,33.911,29.589
2398,SSI SURGICAL SERVICES INC,SGSI.1,8.86,37.83,25.342,26.544,5.388,-0.384,5.004,9.53,1.513,2.395,-1.384,-14.323,7.149,34.872,4.288,28.939,34.872,29.868
2399,SSI SURGICAL SERVICES INC,SGSI.1,8.368,34.444,21.885,24.862,5.489,-0.7240000000000001,4.765,11.22,0.795,2.411,-1.868,-16.191,7.297999999999999,33.105,7.7964,27.421,33.105,28.34
4570,ST JOHN KNITS INTL INC,SJKI,121.117,220.543,127.734,261.847,13.363,74.611,87.97399999999999,208.725,49.167,51.297,23.813,-264.807,31.219,336.459,156.156,313.144,336.459,248.485
4571,ST JOHN KNITS INTL INC,SJKI,121.75,222.223,144.70600000000002,243.291,14.778,73.612,88.39,221.215,52.498000000000005,50.725,25.879,-244.001,25.513,365.921,156.156,294.016,365.921,277.531
4572,ST JOHN KNITS INTL INC,SJKI,133.428,235.907,138.827,259.10400000000004,15.681,63.822,79.503,223.407,54.706,47.391000000000005,24.305,-222.94,31.345,362.234,153.3675,311.638,362.234,282.731
4573,ST JOHN KNITS INTL INC,SJKI,130.97299999999998,234.289,139.952,231.755,16.69,50.289,66.979,230.191,60.117,62.065,14.882,-207.495,31.458,370.143,167.31,299.575,370.143,303.164
4574,ST JOHN KNITS INTL INC,SJKI,138.905,207.997,159.309,189.062,16.663,48.767,65.43,236.294,71.345,65.998,13.448,-193.831,28.781,395.603,206.349,264.62,395.603,330.173
1970,STANDARD COMMERCIAL CORP,STW,611.871,820.83,976.989,199.645,18.995,31.428,50.423,128.737,340.444,418.282,10.338,47.22,227.3,1105.726,45.458,644.981,1105.726,1055.303
1971,STANDARD COMMERCIAL CORP,STW,510.0630000000001,692.93,969.366,186.404,16.328,47.074,63.402,147.518,252.032,311.039,22.693,67.07,217.153,1116.884,155.7815,522.683,1116.884,1053.482
1972,STANDARD COMMERCIAL CORP,STW,469.898,650.6419999999999,781.6469999999999,146.812,17.204,65.312,82.516,160.649,241.205,287.7,19.797,87.62899999999999,169.35,942.296,256.933,459.971,942.296,859.78
1973,STANDARD COMMERCIAL CORP,STW,538.953,748.3,821.3839999999999,123.723,17.5,65.742,83.242,172.332,285.02,356.689,37.881,137.691,212.042,993.716,211.7052,504.30300000000005,993.716,910.474
1974,STANDARD COMMERCIAL CORP,STW,618.15,840.0139999999999,648.638,136.865,16.6,43.025,59.625,131.406,292.334,451.298,-13.638,121.434,196.681,780.044,253.7826,608.95,780.044,720.419
1975,STANDARD MICROSYSTEMS CORP,SMSC,199.497,539.476,167.40400000000002,0.0,20.37,37.648,58.018,210.445,58.885,79.467,32.906,193.623,52.877,377.849,645.8697,103.387,377.849,319.831
1976,STANDARD MICROSYSTEMS CORP,SMSC,205.181,429.686,141.347,1.884,22.346,-0.657,21.689,184.149,53.413,59.295,-49.409,121.769,26.799,325.496,341.31,80.878,325.496,303.807
1977,STANDARD MICROSYSTEMS CORP,SMSC,261.878,479.336,126.111,7.153,25.354,-6.455,18.899,181.667,44.374,90.541,-7.978,119.44,47.972,307.778,437.0138,117.448,307.778,288.879
1978,STANDARD MICROSYSTEMS CORP,SMSC,321.536,539.092,169.49900000000002,5.406000000000001,25.518,25.898000000000003,51.416,239.98,47.232,115.797,10.627,135.779,64.714,409.479,609.739,142.185,409.479,358.06300000000005
1979,STANDARD MICROSYSTEMS CORP,SMSC,265.445,513.986,168.34900000000002,3.381,30.424,31.179,61.603,243.755,36.622,98.618,10.662,143.437,50.986,412.104,569.2751,119.619,412.104,350.501
4735,STARCRAFT CORP,STCR.,26.038,34.994,109.014,9.957,1.031,2.374,3.405,18.327,10.629,23.873,-4.347,-15.313,12.962,127.341,14.8575,33.83,127.341,123.936
4736,STARCRAFT CORP,STCR.,18.504,22.01,36.943000000000005,8.092,1.241,0.852,2.093,11.991,4.636,16.464000000000002,-3.177,-18.49,12.16,48.934,10.1695,24.556,48.934,46.841
4737,STARCRAFT CORP,STCR.,33.132,39.092,78.982,12.704,0.7659999999999999,9.421,10.187,25.702,8.204,24.066,2.963,-15.527,22.781,104.684,33.1823,36.77,104.684,94.497
4738,STARCRAFT CORP,STCR.,49.08,58.73,146.189,9.148,1.646,25.104,26.75,45.913,10.06,27.121,11.788,-5.983,29.182,192.102,162.183,36.269,192.102,165.352
4739,STARCRAFT CORP,STCR.,45.035,151.361,147.749,18.854,4.03,2.533,6.563,25.654,13.547,24.588,-45.02,-56.515,25.079,173.403,67.1778,48.38,173.403,166.84
1985,STEEL TECHNOLOGIES INC,STTX.,168.498,307.115,400.655,74.9,15.108,29.611,44.719,74.743,87.741,86.285,15.794,130.178,74.0,475.398,163.8845,175.385,475.398,430.679
