,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
2159,TIDELANDS ROYALTY TRUST B,TIRTZ,2.86,2.86,0.172,0.0,0.0,4.048,4.048,4.048,0.0,0.916,4.062,1.944,0.826,4.22,29.799,0.916,4.22,0.172
9660,TIENS BIOTECH GROUP USA INC,TBV,85.054,148.747,15.469,6.398,2.613,35.918,38.531,51.321000000000005,6.845,11.046,26.292,110.507,21.692,66.79,280.3426,17.444000000000006,66.79,28.259
9661,TIENS BIOTECH GROUP USA INC,TBV,83.65299999999999,181.628,13.382,4.268,3.144,24.067,27.211,41.518,5.95,24.329,18.594,137.366,28.336,54.9,166.9216,29.136,54.9,27.689
9662,TIENS BIOTECH GROUP USA INC,TBV,106.555,204.941,21.866,2.138,3.004,33.803000000000004,36.807,55.382,8.366,33.685,27.657,139.59799999999998,40.483,77.248,139.8146,47.032,77.248,40.441
9663,TIENS BIOTECH GROUP USA INC,TBV,69.294,231.11,17.612000000000002,0.0,2.555,25.8,28.355,44.364,5.327999999999999,34.098,23.841,157.849,60.93600000000001,61.976000000000006,214.002,45.335,61.976000000000006,33.621
9664,TIENS BIOTECH GROUP USA INC,TBV,48.526,285.478,12.636,18.451,2.374,6.803999999999999,9.178,28.709,5.702999999999999,58.81399999999999,4.836,167.817,28.436,41.345,102.721,88.73899999999998,41.345,32.167
7915,TIGRENT INC,TIGE,67.061,91.687,110.218,3.015,1.253,15.501,16.754,114.436,1.061,136.648,2.301,-52.536,3.457,224.654,62.8037,140.543,224.654,207.9
7916,TIGRENT INC,TIGE,69.446,91.684,101.913,2.952,1.62,4.35,5.97,105.721,1.4369999999999998,143.505,-6.638,-59.673,0.527,207.634,34.0431,146.924,207.634,201.664
7917,TIGRENT INC,TIGE,66.309,81.608,80.077,2.9130000000000003,1.382,4.409,5.791,91.658,0.953,131.14700000000002,0.5820000000000001,-57.772,0.376,171.735,7.6304,134.282,171.735,165.94400000000002
7918,TIGRENT INC,TIGE,41.773,54.419,69.374,4.667,1.044,18.24,19.284,101.55,0.506,94.163,10.136,-48.851000000000006,0.0,170.924,7.6304,99.361,170.924,151.64
7919,TIGRENT INC,TIGE,30.004,33.532,44.49100000000001,1.08,0.775,6.641,7.416,58.144,0.262,76.028,-0.88,-49.998000000000005,0.072,102.635,0.7853,77.77199999999998,102.635,95.219
2060,TII NETWORK TECHNOLOGIES INC,TIII,20.52,39.651,29.732,0.0,1.429,2.545,3.974,17.114,9.219,4.157,6.44,-5.718,6.994,46.846,26.1551,4.157,46.846,42.872
2061,TII NETWORK TECHNOLOGIES INC,TIII,22.091,39.721,21.516,0.0,1.592,1.432,3.024,13.674,9.031,2.742,0.578,-5.14,3.906,35.19,8.6751,2.742,35.19,32.166
2062,TII NETWORK TECHNOLOGIES INC,TIII,24.976,40.962,16.566,0.0,1.6269999999999998,0.497,2.124,10.871,8.044,3.117,0.073,-5.067,3.468,27.437,17.7788,3.117,27.437,25.313
2063,TII NETWORK TECHNOLOGIES INC,TIII,28.591,51.374,36.854,0.0,1.604,4.377,5.981,17.644000000000002,15.737,10.387,2.23,-2.69,8.665,54.498000000000005,40.5435,10.387,54.498000000000005,48.517
2064,TII NETWORK TECHNOLOGIES INC,TIII,30.017,47.324,38.674,0.0,1.935,1.219,3.154,17.584,13.157,8.597999999999999,-3.133,-5.858,9.085,56.258,21.5576,8.597999999999999,56.258,53.104
2935,TIMBERLAND CO  -CL A,TBL,648.771,860.377,795.703,0.0,27.743,166.50400000000002,194.247,771.916,186.765,285.628,101.205,853.7919999999999,204.016,1567.619,1957.36,298.692,1567.619,1373.372
2936,TIMBERLAND CO  -CL A,TBL,617.1569999999999,836.345,738.217,0.0,31.373,85.971,117.344,698.2339999999999,201.932,218.035,39.999,895.2389999999999,188.091,1436.451,1086.8611,259.185,1436.451,1319.1070000000002
2937,TIMBERLAND CO  -CL A,TBL,649.903,849.3989999999999,712.446,0.0,31.371,69.992,101.363,652.104,179.688,232.074,42.906000000000006,930.582,168.666,1364.55,664.9104,272.861,1364.55,1263.187
2938,TIMBERLAND CO  -CL A,TBL,670.337,859.9069999999999,654.617,0.0,27.537,81.08800000000001,108.625,631.259,158.541,227.807,56.644,989.731,149.178,1285.876,977.687,264.29,1285.876,1177.251
2939,TIMBERLAND CO  -CL A,TBL,721.028,892.3589999999999,708.467,0.0,24.503,145.235,169.738,721.0169999999999,180.06799999999998,246.526,96.622,1077.976,188.336,1429.484,1241.8442,280.848,1429.484,1259.746
8330,TIMBERLINE RESOURCES CORP,TLRS,2.991,10.595,4.59,1.224,0.682,-1.7619999999999998,-1.08,1.88,0.866,3.907,-1.966,-5.03,1.3130000000000002,6.47,10.7678,5.131,6.47,7.55
8331,TIMBERLINE RESOURCES CORP,TLRS,10.137,22.011,13.597,1.219,1.145,-2.226,-1.081,5.636,1.925,6.975,-2.688,-7.718,3.889,19.233,88.7876,8.193999999999999,19.233,20.314
8332,TIMBERLINE RESOURCES CORP,TLRS,7.89,20.37,24.073,8.916,1.445,-6.1770000000000005,-4.732,7.656000000000001,2.045,7.904,-10.104,-17.822,3.499,31.729,48.858,16.82,31.729,36.461
8333,TIMBERLINE RESOURCES CORP,TLRS,4.091,14.024,14.753,5.406000000000001,1.367,-6.188,-4.821000000000001,2.82,1.088,3.921,-7.309,-25.13,1.423,17.573,26.3129,9.954,17.573,22.394
8334,TIMBERLINE RESOURCES CORP,TLRS,7.527,31.269,14.883,6.022,1.513,-3.58,-2.067,5.85,1.239,4.7,-5.751,-30.424,0.908,20.733,65.1038,11.834,20.733,22.8
6400,TIMCO AVIATION SERVICES INC,3TMAV,80.1,181.174,250.735,168.327,8.912,-34.812,-25.9,13.405,42.926,144.178,-141.235,-284.646,33.172,264.14,3.6036,312.541,264.14,290.04
6401,TIMCO AVIATION SERVICES INC,3TMAV,43.32,131.026,174.175,172.19400000000002,5.53,-13.839,-8.309,7.797999999999999,21.631,53.497,7.022,-277.624,17.762,181.973,21.5159,227.788,181.973,190.282
6402,TIMCO AVIATION SERVICES INC,3TMAV,69.722,152.891,220.817,177.757,5.513999999999999,0.966,6.48,21.697,25.724,68.66199999999999,-0.261,-277.885,36.95,242.514,24.0472,248.656,242.514,236.034
6403,TIMCO AVIATION SERVICES INC,3TMAV,76.811,137.368,288.97,166.511,5.229,6.653,11.882,34.518,22.244,62.916,0.913,-276.972,49.721,323.488,6.8028,232.22,323.488,311.606
6404,TIMCO AVIATION SERVICES INC,3TMAV,100.164,160.128,311.012,41.27,5.256,-15.416,-10.16,18.54,28.681,72.661,-21.716,-298.688,48.643,329.552,99.7007,113.931,329.552,339.712
2165,TIPPERARY CORP,TPY,9.991,52.54600000000001,4.2330000000000005,10.633,1.091,-0.432,0.659,4.391,0.0,3.15,0.043,-84.839,1.515,8.624,88.7074,13.783,8.624,7.965
2166,TIPPERARY CORP,TPY,16.359,77.527,2.218,12.183,1.017,-3.935,-2.918,1.339,0.0,7.491,-7.176,-93.135,2.518,3.557,63.133,19.674,3.557,6.475
2167,TIPPERARY CORP,TPY,4.424,84.75299999999999,3.06,27.899,1.472,-4.448,-2.9760000000000004,2.0,0.0,3.484,-4.811,-97.946,1.863,5.06,78.8342,31.383000000000006,5.06,8.036
2168,TIPPERARY CORP,TPY,4.925,123.608,7.235,74.126,1.487,-8.208,-6.721,-0.982,0.0,4.287,-15.369000000000002,-106.221,1.585,6.252999999999999,119.6241,78.681,6.252999999999999,12.974
2169,TIPPERARY CORP,TPY,6.29,150.684,6.589,108.352,1.956,-7.915,-5.959,1.917,0.0,3.738,-15.338,-120.841,2.156,8.506,205.5393,112.363,8.506,14.465
2170,TITAN CORP,TTN,463.299,959.438,713.574,548.89,43.692,54.73,98.422,319.639,25.367,195.523,-18.728,-9.852,347.13300000000004,1033.213,865.8,780.755,1033.213,934.791
2171,TITAN CORP,TTN,573.747,1460.402,788.918,616.255,30.671,62.748000000000005,93.419,295.48900000000003,29.112,295.135,-98.614,-57.111,374.728,1084.407,1740.4372,963.421,1084.407,990.988
2172,TITAN CORP,TTN,611.518,1297.442,1107.356,597.495,21.705,73.985,95.69,284.80400000000003,31.28,289.107,-271.461,-327.45,314.363,1392.16,812.2296,985.129,1392.16,1296.47
2173,TITAN CORP,TTN,614.427,1290.635,1457.786,542.8380000000001,20.845,121.133,141.97799999999998,317.221,29.405,291.591,29.097,-298.436,387.963,1775.007,1786.6098,919.226,1775.007,1633.029
2174,TITAN CORP,TTN,679.488,1357.766,1714.047,553.341,15.916,149.274,165.19,332.478,21.336,354.56300000000005,-38.397,-336.61800000000005,515.386,2046.525,1368.9162,1009.686,2046.525,1881.335
2065,TNR TECHNICAL INC,TNRK,6.975,7.084,6.531000000000001,0.0,0.015,1.156,1.171,3.084,1.307,0.7240000000000001,0.8440000000000001,3.339,1.21,9.615,10.01,0.737,9.615,8.443999999999999
2066,TNR TECHNICAL INC,TNRK,7.895,8.008,6.371,0.0,0.038,0.879,0.917,2.991,1.931,3.072,0.6579999999999999,1.919,0.669,9.362,10.472,3.08,9.362,8.445
2067,TNR TECHNICAL INC,TNRK,5.882999999999999,5.97,6.13,0.0,0.032,0.56,0.5920000000000001,2.604,1.946,0.654,0.391,2.31,0.7490000000000001,8.734,4.004,0.654,8.734,8.142000000000001
2068,TNR TECHNICAL INC,TNRK,6.297000000000001,6.403,6.482,0.0,0.032,0.5870000000000001,0.619,2.865,1.68,0.698,0.389,2.699,0.614,9.347,5.698,0.698,9.347,8.728
2069,TNR TECHNICAL INC,TNRK,4.68,4.756,6.485,0.0,0.0289999999999999,0.514,0.5429999999999999,2.6710000000000003,1.943,0.818,0.237,0.938,0.621,9.156,4.4976,0.818,9.156,8.613
2175,TODD SHIPYARDS CORP,TOD,74.615,147.255,187.271,0.0,3.795,10.86,14.655,14.655,14.019,24.354,8.181000000000001,92.609,10.697,201.926,171.6618,61.542,201.926,187.271
2176,TODD SHIPYARDS CORP,TOD,53.651,120.457,123.075,0.0,4.25,-1.821,2.4290000000000003,2.4290000000000003,19.822,26.874,3.24,69.385,10.69,125.504,104.6035,56.45399999999999,125.504,123.075
2177,TODD SHIPYARDS CORP,TOD,47.84,109.502,129.81799999999998,0.0,4.619,4.647,9.266,9.266,12.525,16.421,6.577999999999999,71.304,9.956,139.084,92.7038,43.53100000000001,139.084,129.81799999999998
2178,TODD SHIPYARDS CORP,TOD,55.221,114.24,106.003,0.0,4.619,2.8960000000000004,7.515,7.515,13.849,27.121,4.782,70.155,14.295,113.518,79.2825,49.20399999999999,113.518,106.003
2179,TODD SHIPYARDS CORP,TOD,75.556,133.296,165.18900000000002,0.0,4.498,10.336,14.834,14.834,22.166,36.527,7.809,80.256,22.728,180.023,94.8997,57.894,180.023,165.18900000000002
5890,TOLLGRADE COMMUNICATIONS INC,TLGD,93.229,162.352,31.139,0.0,2.1,0.346,2.446,34.255,8.556000000000001,10.043,-1.834,79.016,17.95,65.39399999999999,140.0208,12.908,65.39399999999999,62.948
5891,TOLLGRADE COMMUNICATIONS INC,TLGD,90.662,139.489,29.848000000000003,0.0,1.7,2.1590000000000003,3.859,36.712,13.687,13.582,-26.153,52.767,16.226,66.56,105.5111,16.489,66.56,62.701
5892,TOLLGRADE COMMUNICATIONS INC,TLGD,84.198,124.347,23.228,0.0,5.192,-2.787,2.405,33.996,10.673,8.722999999999999,-7.115,43.868,11.292,57.224,60.5196,11.893,57.224,54.819
